;name;url
0;ACUNID - Ablitas-Balsa de Bajabón;67306
1;ACUNID - Ablitas-Balsa de Prado Bajo;69643
2;ACUNID - Aguilar de Codés-Río Linares Río Linares;68876
3;ACUNID - Allo-Carrizal de Allo Arroyo Riomayor/Salado;71189
4;ACUNID - Andosilla-Río Ebro;72802
5;ACUNID - Aranguren-Balsa de Zolina;67269
6;ACUNID - Arce-Embalse de cola;67302
7;ACUNID - Arce-Itoiz brazo del Urrobi Río Urrobi;67303
8;ACUNID - Arce-Lónguida-Embalse de Itoiz;68993
9;ACUNID - Arguedas-Tudela-Arrozales de Arguedas-Tudela;69780
10;ACUNID - Artajona-Balsa de Farangortea;68419
11;ACUNID - Artajona-Presa de Artajona;68421
12;ACUNID - Asiain-Río Arakil Río Arakil;70247
13;ACUNID - Azagra-Río Ebro;72390
14;ACUNID - Azuelo-Río Linares Río Linares;68877
15;ACUNID - Barañain-Lago de Barañain;69472
16;ACUNID - Barañain-Río Arga Río Arga;71583
17;ACUNID - Bardenas Reales-Balsa Cabaña de Felipe Mateo;72763
18;ACUNID - Bardenas Reales-Balsa de la Nemesía;72764
19;ACUNID - Bardenas Reales-Barraco de la Val del Rey;72762
20;ACUNID - Bardenas Reales-Barrancosalado;72765
21;ACUNID - Bardenas Reales-Carrizal de Valfondo;69871
22;ACUNID - Bardenas Reales-Embalse de Cortinas;69872
23;ACUNID - Bardenas Reales-Embalse de El Ferial;68629
24;ACUNID - Bardenas Reales-Embalse de Zapata;69870
25;ACUNID - Beire-Balsa de Beire;69879
26;ACUNID - Beriain-Balsa de La Morea;68902
27;ACUNID - Berrioplano-Loza-Balsa de Loza;67220
28;ACUNID - Burlada-Villava-Huarte-Río Arga Río Arga;71585
29;ACUNID - Buñuel-Raspa del Quebrado;68024
30;ACUNID - Buñuel-Soto de El Ramillo Río Ebro;68039
31;ACUNID - Buñuel-Soto de la Mejana Río Ebro;68025
32;ACUNID - Buñuel-Soto de mora o El Espartal Río Ebro;68055
33;ACUNID - Caparroso-Sotos de Lobera y el Sotillo Río Aragón;69877
34;ACUNID - Carcastillo-Figarol-Balsa Fila Malpial;72083
35;ACUNID - Carcastillo-Figarol-Laguna de Dos Reinos;68625
36;ACUNID - Carcastillo-La Presa/El Islote;72016
37;ACUNID - Cascante-Laguna de Lor;67307
38;ACUNID - Castejón-Gravera del Ayuntamiento;72017
39;ACUNID - Castejón-Río Ebro Río Ebro;69772
40;ACUNID - Castejón-Soto Alto Río Ebro;69773
41;ACUNID - Castejón-Soto Giraldelli Río Ebro;69774
42;ACUNID - Cendea de Olza-Olza-Ibero Río Arga;68631
43;ACUNID - Cintrúenigo-El Pantanillo;69637
44;ACUNID - Cintrúenigo-Embalse de la Nava;69635
45;ACUNID - Cintrúenigo-Estanquillas de Agua Potable;68473
46;ACUNID - Cintrúenigo-La Estanca;69638
47;ACUNID - Cintrúenigo-La Estanca 2;69639
48;ACUNID - Cizur-Guendulain-Balsa de Guendulain;69152
49;ACUNID - Corella-Cantera Vieja de la Sarda;71795
50;ACUNID - Corella-Embalse de la Estanquilla;69641
51;ACUNID - Corella-La Estanca;69640
52;ACUNID - Cortes-Soto de la Mejana de Santa Isabel Río Ebro;68056
53;ACUNID - Cáseda-EN Soto de Campo Allende y río Aragón;72013
54;ACUNID - Cáseda-Presa río Aragón;72084
55;ACUNID - Esteribar-Embalse de Eugui Río Arga;67222
56;ACUNID - Etxauri-Río Arga Río Arga;70245
57;ACUNID - Falces-Sotos de Arquillo y Barbaraces Río Arga;69876
58;ACUNID - Funes-Sotos de Gil y Ramal Hondo Río Arga;69874
59;ACUNID - Gallipienzo-Río Aragón;72012
60;ACUNID - Genevilla-Embalse de Cabredo;68875
61;ACUNID - Guirguillano-Presa del Arga. Señorio de Sarría;65826
62;ACUNID - Ibargoiti-Balsa de Celigüeta;68624
63;ACUNID - Ibero-Confluencia Arga-Arakil Río Arakil-Río Arga;70168
64;ACUNID - Iza-Poza de Iza;67219
65;ACUNID - Javier-Río Aragón;72011
66;ACUNID - Lazagurría-Prados de Lazagurría norte;68999
67;ACUNID - Lazagurría-Prados de Lazagurría sur;68896
68;ACUNID - Lazagurría-Río Linares Río Linares;68894
69;ACUNID - Lerín-Barranco con carrizo;71196
70;ACUNID - Lerín-Barranco grande pueblo;71193
71;ACUNID - Lodosa-Río Ebro Río Ebro;68898
72;ACUNID - Lorca-Carrizal de Lorca;68873
73;ACUNID - Lónguida-Embalse de Villaveta;67221
74;ACUNID - Marcilla-Soto de la Cueva Río Aragón;68295
75;ACUNID - Mendigorría-Río Arga Río Arga;69828
76;ACUNID - Milagro-Confluencia Ebro-Arga;72392
77;ACUNID - Milagro-Soto de Granjafría Río Ebro;69878
